time,open,high,low,close,Volume,Volume MA
1502938800,4261.48,4328.69,4261.32,4315.32,70.415925,NaN
1502949600,4330.29,4377.85,4287.41,4360.69,12.645747,NaN
1502960400,4360,4485.39,4360,4427.3,62.647075,NaN
1502971200,4436.06,4485.39,4411,4470.82,106.080731,NaN
1502982000,4470.82,4470.82,4235.45,4289.24,195.604973,NaN
1502992800,4289.24,4354.84,4200.74,4346.74,146.961485,NaN
1503003600,4346.74,4369.69,4280.82,4285.08,200.794441,NaN
1503014400,4285.08,4340.62,4134.61,4267.59,212.191694,NaN
1503025200,4244.77,4340.62,4234,4313.56,178.96815,NaN
1503036000,4313.56,4320.71,4247.75,4282.73,208.252077,NaN
1503046800,4265.33,4371.52,4265.33,4340.31,121.31028,NaN
1503057600,4320.52,4340.31,4193.7,4259.4,136.021667,NaN
1503068400,4259.4,4283.79,4066.53,4193.35,147.678007,NaN
1503079200,4171.17,4297.75,3981.13,4021.11,105.884717,NaN
1503090000,4015.4,4136.48,3938.77,4108.37,89.581672,NaN
1503100800,4108.37,4184.69,4084.28,4156.39,88.898528,NaN
1503111600,4180,4180,4027.83,4077,49.479346,NaN
1503122400,4077,4082,3933.21,3999,100.891058,NaN
1503133200,3999,4082.25,3850,3957.6,59.249637,NaN
1503144000,3945.12,4100,3928.89,4042.41,39.271074,116.6414142
1503154800,4036.59,4063.44,3953.4,4027.37,15.398229,113.8905294
1503165600,4013.69,4103.92,4013.69,4075.98,21.758901,114.3461871
1503176400,4075.98,4149.99,4074.23,4139.98,6.36299,111.53198285
1503187200,4120.98,4139.98,4044,4124.69,6.263636,106.5411281
1503198000,4111.26,4142.16,4087,4117.41,11.899946,97.35587675
1503208800,4117.41,4211.08,4032.62,4184.73,34.447127,91.73015885
1503219600,4155,4158.61,4080,4106.53,18.624427,82.62165815
1503230400,4106.53,4125.43,4063.35,4096.32,5.489652,72.28655605
1503241200,4100,4150,4091.59,4129,96.207256,68.14851135
1503252000,4129.32,4185.94,4116,4140.93,150.84951,65.278383
