time,open,high,low,close,Volume,Volume MA
1577836800,7195.24,7196.25,7175.47,7179.56,414.67298,NaN
1577839500,7179.35,7217,7175.46,7212.1,452.205495,NaN
1577842200,7212.1,7230,7204.28,7211.97,661.749682,NaN
1577844900,7212.87,7244.87,7212.15,7242.85,521.396156,NaN
1577847600,7242.66,7245,7220.1,7221.27,643.611199,NaN
1577850300,7221.27,7230.78,7215.03,7222.23,460.66992,NaN
1577853000,7221.21,7230,7216.18,7223.95,245.343215,NaN
1577855700,7223.14,7228.16,7216.65,7224.21,246.583707,NaN
1577858400,7224.24,7236.27,7222.87,7229.63,499.633007,NaN
1577861100,7229.63,7232.94,7221.51,7231.27,369.467615,NaN
1577863800,7231.04,7232.86,7193.65,7195.21,563.513812,NaN
1577866500,7195.21,7202.74,7180,7200.64,731.743417,NaN
1577869200,7200.29,7210.51,7190.02,7199.63,497.710612,NaN
1577871900,7199.63,7206.78,7185.2,7205.95,450.659533,NaN
1577874600,7205.95,7210,7197.99,7208,316.310522,NaN
1577877300,7208,7237.73,7188.61,7197.2,986.42772,NaN
1577880000,7197.2,7226.42,7196.15,7220.3,671.648433,NaN
1577882700,7220.52,7233.33,7212.88,7221.79,552.202913,NaN
1577885400,7221.93,7231.89,7208.17,7217.02,406.683789,NaN
1577888100,7216.01,7234.97,7215.84,7221.43,468.113532,508.01736295
1577890800,7221.6,7255,7218.29,7236,1145.3246,544.54994395
1577893500,7235.39,7240.06,7214,7218.68,754.402719,559.65980515
1577896200,7218.61,7249.99,7216.77,7239.93,765.548759,564.849759
1577898900,7239.93,7248.78,7232.72,7236.83,679.756061,572.76775425
1577901600,7237.02,7246.72,7225.17,7234.52,512.181957,566.19629215
1577904300,7234.56,7243.39,7226,7227.72,331.379679,559.7317801
1577907000,7227.83,7237.36,7225.49,7231.9,291.718437,562.0505412
1577909700,7231.9,7242.98,7224.68,7236.73,285.994045,564.0210581
1577912400,7237.26,7242.75,7227,7234.15,225.966971,550.3377563
1577915100,7234.22,7238.23,7213,7215.78,354.645438,549.59664745
1577917800,7215.38,7215.38,7175.15,7184.68,894.780403,566.159977
1577920500,7184.66,7204.17,7178.95,7200.85,390.341837,549.089898
1577923200,7200.77,7207.61,7185.46,7207.45,283.963396,538.4025372
1577925900,7207.05,7212.5,7188.68,7190.18,299.875589,530.86334
1577928600,7190.19,7195.62,7158.37,7169.25,872.743348,558.6849813
1577931300,7169.04,7171.71,7155.35,7169.02,724.808069,545.60399875
1577934000,7169.04,7169.06,7137.64,7142.37,886.087575,556.32595585
1577936700,7143.49,7161,7116.7,7145.01,1508.062863,604.11895335
1577939400,7145.01,7155.65,7130.46,7143.8,583.054414,612.9374846
1577942100,7143.8,7152.05,7126.93,7138.93,402.716445,609.66763025
1577944800,7138.93,7149.02,7135,7136.81,475.472363,576.1750184
1577947500,7136.42,7140.63,7107,7111.58,1100.667128,593.48823885
1577950200,7111.56,7142.48,7105,7136.92,1029.786932,606.7001475
