time,open,high,low,close,Volume,Volume MA
1639958400,46681.24,46684.3,46500,46529.36,306.27592,NaN
1639958700,46529.37,46749.43,46473.89,46680.48,189.55692,NaN
1639959000,46680.47,46733.8,46303.87,46400.79,311.9918,NaN
1639959300,46400.79,46426.6,46220,46322.91,250.79071,NaN
1639959600,46322.92,46471.55,46314.58,46393.21,102.08835,NaN
1639959900,46393.21,46564.24,46388.61,46517.82,84.82858,NaN
1639960200,46517.81,46602.32,46455.01,46557.19,74.9376,NaN
1639960500,46557.19,46595.42,46455,46559.58,41.70172,NaN
1639960800,46559.58,46677.92,46540.51,46677.91,89.21528,NaN
1639961100,46677.91,46693.02,46596.64,46645.75,78.80177,NaN
1639961400,46645.76,46694.98,46589.93,46681.21,49.53936,NaN
1639961700,46681.2,46900,46681.2,46880.83,153.30454,NaN
1639962000,46880.83,46950,46820.78,46864.5,129.94269,NaN
1639962300,46864.5,47036.69,46859.7,46980.32,184.6352,NaN
1639962600,46980.32,47200,46941.35,47140.39,299.57642,NaN
1639962900,47140.4,47197.08,46839.05,46908.98,139.76079,NaN
1639963200,46908.97,46966.34,46799.57,46830.07,95.55088,NaN
1639963500,46833.42,46907.7,46735.39,46812.89,80.40327,NaN
1639963800,46812.89,46832.18,46636.24,46648.04,130.25687,NaN
1639964100,46648.05,46729.92,46560.83,46590.71,122.90304,145.8030855
1639964400,46590.72,46604.98,46493.19,46524.13,131.48412,137.0634955
1639964700,46524.13,46625.95,46524.13,46625.94,41.84305,129.677802
1639965000,46625.95,46688.85,46580,46687.85,67.58115,117.4572695
1639965300,46687.85,46782.36,46611.01,46619.56,115.90164,110.712816
1639965600,46619.55,46649.01,46562.8,46571.68,109.05972,111.0613845
1639965900,46571.68,46571.68,46459.36,46497.39,115.09766,112.5748385
1639966200,46497.38,46544.66,46477.75,46535.82,78.86226,112.7710715
1639966500,46535.83,46641.33,46529.83,46611.04,94.05238,115.3886045
1639966800,46611.05,46682.37,46534.22,46669.93,62.00104,114.0278925
1639967100,46669.94,46831.57,46637.21,46704.47,102.58514,115.217061
1639967400,46704.46,46787.42,46622.19,46741.77,68.11061,116.1456235
1639967700,46741.78,46831.43,46727.9,46784.49,88.18716,112.8897545
1639968000,46784.49,46795.5,46663.33,46748.53,64.98164,109.641702
1639968300,46748.53,46796.92,46680.04,46704.84,45.27016,102.67345
1639968600,46704.83,46720.7,46609.09,46649.01,59.41899,90.6655785
1639968900,46649,46741.52,46604.02,46731.84,93.07814,88.331446
1639969200,46731.85,46785.26,46680,46780.12,72.44421,87.1761125
1639969500,46780.13,46846,46751.79,46769.94,72.50749,86.7813235
1639969800,46769.95,46799.5,46712.67,46740.01,66.0767,83.572315
1639970100,46740.01,46740.01,46550,46561.12,92.32077,82.0432015
1639970400,46561.12,46599.25,46513.7,46555.46,68.6745,78.9027205
1639970700,46555.45,46586.84,46510,46543.85,112.96847,82.4589915
1639971000,46543.85,46589.79,46509.6,46571.36,105.56603,84.3582355
1639971300,46571.36,46621.66,46484.99,46527.28,87.64534,82.9454205
1639971600,46527.27,46616.03,46500,46562.86,150.67684,85.0262765
1639971900,46562.86,46734.64,46562.85,46677.83,93.30262,83.9365245
1639972200,46677.82,46732.9,46661.79,46661.8,48.63199,82.425011
1639972500,46661.8,46721.27,46625.96,46687.22,65.37653,80.9912185
