time,open,high,low,close,Volume,Volume MA
1546300800,3701.23,3713,3689.88,3700.31,686.36742,NaN
1546304400,3700.2,3702.73,3684.22,3689.69,613.539115,NaN
1546308000,3689.67,3695.95,3675.04,3690,895.302181,NaN
1546311600,3690,3699.77,3685.78,3693.13,796.714818,NaN
1546315200,3692.32,3720,3685.94,3692.71,1317.452909,NaN
1546318800,3693.98,3704.44,3692.73,3699.94,572.402228,NaN
1546322400,3699.95,3713.93,3697,3703.56,660.279771,NaN
1546326000,3703.63,3726.64,3703.34,3713.83,823.625491,NaN
1546329600,3714.19,3731.19,3707,3716.7,887.101362,NaN
1546333200,3716.98,3732,3696.14,3699.95,955.879034,NaN
1546336800,3699.96,3717.11,3698,3713.07,534.113945,NaN
1546340400,3713.07,3722.22,3706.88,3707.54,600.664642,NaN
1546344000,3707.56,3725,3698.25,3717,654.27771,NaN
1546347600,3717,3756.94,3708.41,3715.93,941.785695,NaN
1546351200,3715.23,3717,3684.21,3698.53,1127.366632,NaN
1546354800,3698.28,3698.87,3666.01,3682.61,996.688532,NaN
1546358400,3683,3696.23,3677.48,3693.54,629.18028,NaN
1546362000,3693.5,3701.68,3675.01,3686.32,380.215487,NaN
1546365600,3686.34,3686.35,3642,3659.41,1083.207096,NaN
1546369200,3659.56,3699.99,3659.56,3696.73,1155.513112,815.583873
1546372800,3696.71,3726.93,3675.67,3719,2021.170948,882.3240494
1546376400,3719,3730.01,3700,3708.21,1105.501735,906.9221804
1546380000,3707.98,3717.07,3692.42,3711.2,624.620136,893.38807815
1546383600,3712.85,3810.16,3706.43,3797.14,3678.716754,1037.48817495
1546387200,3796.45,3810,3763.75,3778.02,2094.025159,1076.31678745
1546390800,3778.62,3792,3765.75,3770,912.811113,1093.3372317
1546394400,3769.98,3785.1,3768,3783.28,719.302757,1096.288381
1546398000,3783.28,3796.22,3773.79,3779.98,770.368067,1093.6255098
1546401600,3780,3788.31,3765,3776.41,748.260209,1086.68345215
1546405200,3776.16,3778.42,3768,3773.04,415.849513,1059.6819761
1546408800,3773.04,3775,3750.45,3758.53,916.986058,1078.82558175
1546412400,3758.53,3778.54,3755.4,3771.08,1338.79474,1115.73208665
1546416000,3772.64,3800,3770.09,3781.35,2216.579225,1193.8471624
1546419600,3780.81,3786.24,3770,3775,1483.627847,1220.93927
1546423200,3773.84,3794.4,3770.03,3788,1117.136593,1220.42776805
1546426800,3788.22,3803.68,3777.82,3787.97,1395.941655,1240.3904242
1546430400,3788.81,3793.72,3778.23,3792.51,1179.766158,1267.9197181
1546434000,3793.12,3839.63,3790.82,3825.65,2589.868431,1378.4023653
1546437600,3825.19,3834.26,3796.51,3811.24,2325.654093,1440.52471515
1546441200,3812.17,3815,3785.75,3801.28,1359.581327,1450.7281259
1546444800,3802.61,3865.72,3795,3824.89,2696.187308,1484.4789439
1546448400,3824.89,3845.78,3811.01,3822.6,2166.328561,1537.5202852
1546452000,3822.62,3833,3807,3828.87,1203.590309,1566.46879385
1546455600,3827.22,3830.19,3801.14,3824.98,921.475994,1428.60675585
1546459200,3824.98,3854.35,3812.34,3849,1189.427606,1383.3768782
1546462800,3849.27,3876,3830.06,3856.68,1770.790639,1426.2758545
1546466400,3857.36,3876,3842.46,3862.12,1464.303496,1463.52589145
1546470000,3861.62,3882.14,3851,3858.56,2159.806511,1532.99781365
1546473600,3857.57,3862.74,3828.7,3830.78,1754.761595,1583.32288295
1546477200,3830.76,3843.24,3821.14,3835.96,1334.960909,1629.27845275
1546480800,3835.96,3844.99,3825.85,3833.47,651.947136,1616.02650665
1546484400,3833.69,3847.05,3832,3841.83,732.021603,1585.6878498
1546488000,3841.83,3850,3833.7,3834.59,649.628917,1507.3403344
1546491600,3834.7,3840.31,3805,3824.38,1094.336108,1487.87574745
1546495200,3824.38,3829.89,3813.62,3820.53,774.978958,1470.7678657
1546498800,3821.81,3837.52,3820.39,3828.88,706.28305,1436.28493545
1546502400,3828.88,3832.83,3796,3805,1539.518737,1454.2725644
1546506000,3805.85,3814.96,3783,3805.81,1663.638855,1407.9610856
1546509600,3806.13,3819,3804.07,3811.52,1319.359017,1357.6463318
1546513200,3810.61,3813.51,3787.29,3804,1649.230215,1372.1287762
1546516800,3803.31,3823,3795.33,3818.02,1243.81332,1299.5100768
1546520400,3817.17,3822,3809.35,3817.36,1097.353713,1246.0613344
1546524000,3816.64,3817.37,3790.04,3796.7,1187.831704,1245.27340415
1546527600,3796.79,3811.89,3785.32,3806.7,1340.266726,1266.21294075
1546531200,3807.37,3807.75,3730,3738,3271.17214,1370.30016745
1546534800,3738.71,3762.04,3732.19,3748.46,2025.998359,1383.06055345
1546538400,3748.46,3759.33,3738,3757.89,1021.63925,1360.92734115
1546542000,3757.58,3763.71,3740.11,3756,771.584632,1291.5162472
1546545600,3756,3782.25,3752.37,3780.03,760.416581,1241.7989965
1546549200,3779.99,3782.69,3768.23,3771.26,1333.486625,1241.7252823
1546552800,3771.27,3781.4,3757.14,3773.79,959.792717,1257.11756135
1546556400,3773.42,3775.53,3757.87,3766.78,522.927492,1246.6628558
1546560000,3767.2,3767.21,3730,3750.3,1249.546728,1276.65874635
1546563600,3750.53,3776.89,3749.67,3766.23,793.94147,1261.63901445
1546567200,3765.67,3766.48,3750.41,3758.65,583.328094,1252.05647125
1546570800,3759.33,3787.65,3752.41,3780.04,981.911562,1265.83789685
1546574400,3780.04,3793,3761.94,3775.33,1290.111753,1253.36754765
1546578000,3776.18,3788.53,3764.37,3779.9,982.013535,1219.28628165
1546581600,3779.9,3797.52,3775.92,3783.02,1406.840685,1223.66036505
1546585200,3783.34,3800,3779.54,3783.28,1150.958402,1198.7467744
1546588800,3783.28,3800,3766.75,3771.34,1487.042166,1210.9082167
1546592400,3771.35,3789.9,3757,3764.35,1358.102238,1223.94564295
1546596000,3764.03,3777.16,3756.48,3775.48,849.648521,1207.0364838
1546599600,3775.46,3777.77,3752,3757.55,926.726488,1186.3594719
1546603200,3754.05,3765,3739,3755.52,1467.234732,1096.1626015
1546606800,3755.95,3757.52,3742.08,3744,1476.93285,1068.70932605
1546610400,3744.62,3751.94,3703.62,3717.14,2731.97833,1154.22628005
1546614000,3715.58,3728.59,3703.57,3725.28,1424.786802,1186.88638855
1546617600,3725.3,3754,3717.3,3747.5,1245.430684,1211.1370937
1546621200,3747.5,3749.5,3735.03,3745.22,929.209102,1190.92321755
1546624800,3745.43,3745.96,3726.99,3730,828.895917,1184.37837755
1546628400,3730.41,3746.59,3729.02,3739.53,822.286715,1199.3463387
1546632000,3739.74,3786,3733.46,3764.24,1359.295482,1204.8337764
1546635600,3762.36,3823.64,3760.21,3802.36,2242.107164,1277.2420611
1546639200,3802.59,3816.18,3778.51,3790.98,1203.466166,1308.2489647
1546642800,3792.35,3800.98,3787.57,3792.01,727.759085,1295.54134085
1546646400,3790.09,3838.7,3788.97,3811.76,2440.690197,1353.07026305
1546650000,3811.79,3827.41,3783.25,3803.58,2262.749078,1417.1070402
1546653600,3803.56,3820.13,3802.43,3811.88,1318.638944,1412.69695315
1546657200,3813.16,3822.27,3803.25,3815,1107.479271,1410.5229966
1546660800,3815.35,3826.39,3812.09,3815.72,1224.004168,1397.3710967
1546664400,3815.72,3840.99,3815.72,3834.01,1477.733328,1403.3526512
1546668000,3834.01,3835.08,3792,3799.45,2015.473573,1461.6439038
1546671600,3799.71,3804.99,3780.13,3785.15,956.110214,1463.1130901
1546675200,3784.37,3798.84,3783.76,3793.56,614.93263,1420.497985
1546678800,3793.01,3796.94,3787.03,3790.36,658.552407,1379.57896285
1546682400,3789.72,3793.81,3770,3787.94,955.933711,1290.7767319
1546686000,3788.79,3812.63,3787.53,3801.26,859.398176,1262.5073006
1546689600,3801.03,3811.98,3796.35,3802.47,964.382953,1248.45491405
1546693200,3801.79,3802.74,3782,3793.84,1386.14167,1271.30154245
1546696800,3793.83,3794.89,3778.01,3787.45,1333.232982,1296.5183957
1546700400,3787.55,3814,3785.02,3785.58,1807.063707,1345.7572453
1546704000,3785.58,3805,3775,3797.19,1663.60144,1360.9725432
1546707600,3797,3807.99,3795.82,3801.36,1004.571073,1299.09573865
1546711200,3801.52,3818.51,3798.26,3809.02,1159.90149,1296.91750485
1546714800,3810,3820,3798.19,3810.98,868.144392,1303.9367702
1546718400,3810.89,3812.36,3800,3803.68,514.185341,1207.6115274
1546722000,3804.95,3812.5,3799,3806.57,493.090412,1119.1285941
1546725600,3806.33,3810.2,3751,3786.62,2574.917606,1181.9425272
1546729200,3786.62,3786.63,3766.14,3770.96,829.738988,1168.05551305
1546732800,3771.12,3792.12,3761.6,3786.76,964.564428,1155.08352605
1546736400,3786.86,3791.98,3761.15,3765.65,1065.356514,1134.46468535
1546740000,3765.65,3775.01,3740,3771.82,1629.662522,1115.1741328
1546743600,3771.57,3778.13,3765.49,3771.15,575.947111,1096.16597765
1546747200,3771.7,3776.86,3760.58,3767.9,648.534626,1097.84607745
1546750800,3768.13,3783.55,3764.43,3777.75,586.813576,1094.2591359
1546754400,3778.38,3779.76,3772.14,3772.22,330.386704,1062.98178555
1546758000,3772.34,3775.11,3760,3767.94,656.498524,1052.83680295
1546761600,3768.11,3773.32,3761.81,3772.88,569.315529,1033.08343175
1546765200,3772.77,3782.56,3770.93,3771.3,821.586998,1004.85569815
1546768800,3771.3,3812.02,3770.93,3796.99,1745.968805,1025.4924893
1546772400,3796.42,3820.82,3796.42,3814.24,1851.631122,1027.72086005
1546776000,3814.23,3820.41,3787.07,3790.81,1358.359908,1012.45878345
1546779600,3791.12,3808.31,3785,3798.61,839.147623,1004.18761095
1546783200,3800,3805,3791,3801.35,900.376637,991.2113683
1546786800,3802,3824.99,3800.24,3806.82,1551.907518,1025.3995246
1546790400,3806.91,3814.99,3800.31,3813.39,916.842816,1045.53239835
1546794000,3813.39,4025,3813.39,4007.11,8255.228309,1433.6392932
1546797600,4007.13,4027.71,3972.71,3989.09,3032.692339,1456.52802985
1546801200,3990,4013,3989.12,4002.46,2004.541875,1515.2681742
1546804800,4001.41,4015,3967.01,3977.16,1848.30919,1559.4554123
1546808400,3980.57,3985.69,3953.53,3967.49,2190.129871,1615.69408015
1546812000,3967.49,3988,3965.42,3970.36,977.128225,1583.0673653
1546815600,3970.99,4009.63,3970.79,3987.6,1232.875939,1615.9138067
1546819200,3987.62,4017.9,3986.41,4008.05,1506.176402,1658.7958955
1546822800,4008.88,4009.84,3972.06,3984.28,1753.09007,1717.1097202
1546826400,3984.02,3987.2,3970.03,3987.2,1289.863277,1765.08354885
1546830000,3987.04,3996.97,3983.03,3992.26,815.622544,1773.03974985
1546833600,3991.69,3996.06,3986.4,3988.72,648.232107,1776.98557875
1546837200,3987.89,3996.08,3980.08,3994.96,732.657805,1772.5391191
1546840800,3993.82,4001.77,3982.61,3990.78,1105.659213,1740.5236395
1546844400,3990.76,4001.21,3988,4001,1113.761223,1703.63014455
1546848000,4001.02,4015,3990,4007.7,2023.90655,1736.90747665
1546851600,4007.68,4010.67,3921.53,3957.01,4055.909859,1897.74558845
1546855200,3957.01,3997,3955.5,3959.35,2001.424162,1952.7979647
1546858800,3959.35,3976.9,3952.07,3976.76,975.349508,1923.9700642
1546862400,3976.78,3978,3955.02,3956.87,881.119979,1922.18392235
1546866000,3956.87,3982.96,3955.02,3980.26,849.436031,1551.89430845
1546869600,3980.98,4000,3975.8,3985.46,1168.983601,1458.70887155
1546873200,3985.48,3990,3964.49,3969.91,1269.785993,1421.97107745
